sender,date,subject,source,label
d66e9e64b006d6bca649f1c945129c42c43836872b2eadfb822b6af04b3212cb,2001-06-29 09:37:04-05:00,[ORGANIZATION] failover plan.,trec5,0.0
0907d5c64598aa2639154ed4e1556be615669e40052a1f546d692149730bdc48,2001-06-29 08:39:30-05:00,RE: Intranet Site,trec5,0.0
7c3201a5ff8c5985218f1e3f11e330dc0242bbd28c6c20930a4237cfb3052988,2001-06-29 10:35:17-05:00,FW: [ORGANIZATION] Company information,trec5,0.0
8531d54a169c4af106b9ea2165d4986b8cc10fc0a6bb9b8b114f7a0cbf9a7562,2001-06-29 10:40:02-05:00,New Master Physical,trec5,0.0
7c3201a5ff8c5985218f1e3f11e330dc0242bbd28c6c20930a4237cfb3052988,2001-06-29 10:48:00-05:00,FW: [ORGANIZATION]/Mirant GISB,trec5,0.0
d8b1e48bf530bae64465908ad98f9757cb9ae89f409ca498aa7df69602538a02,2001-06-29 11:03:51-05:00,[ORGANIZATION] Receives Open Season Requests Totaling 300-400 MM/d,trec5,0.0
ffe499b8558e2216fb91179d6bbaec518c79599386cfc6cb4517a0748f92895c,2001-06-29 13:36:42-05:00,Internet Advertising agreement,trec5,0.0
ffe499b8558e2216fb91179d6bbaec518c79599386cfc6cb4517a0748f92895c,2001-06-29 14:17:38-05:00,FW: Internet Advertising agreement,trec5,0.0
17f0b47f7f6cc8a26d10f7afbffa247fc9a730d44b25c3eb6e8c075d9134e65b,2001-06-29 14:39:54-05:00,[ORGANIZATION] Oil Invoice,trec5,0.0
0ac8edf9f46533ba774c9834c14614fc04663645614b766dd91b4abab5f3e284,2001-06-29 15:16:54-05:00,"Accepted: Internet Meeting - [NAME], [NAME], [NAME], [NAME]",trec5,0.0
c8ceb72ab4404535ce1e0cedd18f8f85710f728c017c1c145c08e11d8ffc4ebf,2001-06-29 15:23:31-05:00,[NAME],trec5,0.0
4fe8253faf675c7f6155f2dffed368349669f7889ab3d8bab68b4e55affd9639,2001-06-29 15:24:08-05:00,,trec5,0.0
