Paper_ID,Authors,Year,Title,Venue,Domain,Dataset,Quantum_Method,Classical_Baseline,Representation,Statistical_Evaluation,Domain_Shift,Main_Contribution,Identified_Gap,How_Our_Study_Addresses_The_Gap
P01_Havlicek2019,"Havlíček, V., Córcoles, A. D., Temme, K., Harrow, A. W., Kandala, A., Chow, J. M., & Gambetta, J. M.",2019,Supervised learning with quantum-enhanced feature spaces,Nature (567:209-212),Quantum Machine Learning (Foundational),Synthetic 2D Torus Separation Dataset,Quantum Support Vector Classifier (QSVC) & Quantum Variational Classifier,"Linear SVM, Classical RBF SVM","Continuous 2D coordinates [x1, x2]",Error bars from quantum shot sampling,No,Demonstrated that quantum fidelity kernels can classify engineered data designed to be hard for classical simulation with near-100% accuracy on hardware.,Evaluated only on 2D synthetic dataset engineered to match the quantum feature map; no real-world data or natural language text.,"Our work evaluates real-world unstructured text across 3 datasets, multi-layer language embeddings (TF-IDF, RoBERTa, MiniLM, MPNet), dimensionality scaling (2D-16D), cross-source domain shift, and 10-seed paired equivalence testing."
P02_Schuld2019,"Schuld, M., & Killoran, N.",2019,Quantum Machine Learning in Feature Hilbert Spaces,Physical Review Letters (122:040504),Quantum Machine Learning Theory,"Iris, Wine, Synthetic Toy Datasets",Quantum Kernel Estimator / QSVM,Standard Classical RBF SVM,Normalized continuous numerical vectors,,No,Formulated quantum machine learning with parameterized quantum states as a kernel method operating implicitly in exponential-dimensional Hilbert spaces.,Small toy datasets; focused on theoretical formalism rather than empirical NLP or robustness under domain shift.,"We conduct an extensive empirical multi-dataset evaluation on security text with matched RBF controls, geometry diagnostics, and computational scaling."
P03_Huang2021,"Huang, H.-Y., Broughton, M., Mohseni, M., Babbush, R., Boixo, S., Neven, H., & McClean, J. R.",2021,Power of data in quantum machine learning,Nature Communications (12:2631),QML Generalization & Hardness,"Quantum Many-Body Physics, Engineered Discrete Log, Fashion-MNIST",Projected Quantum Kernel SVM vs Standard Fidelity Kernel,"RBF SVM, Classical Neural Networks (MLP), Random Forest","Physical spin states, tabular continuous, projected quantum states",Rigorous statistical error bounds,No,"Proved that when classical data is abundant, classical ML matches quantum kernels; quantum advantage requires geometric disparity (s_K << s_C) on hard quantum data.",Focused primarily on synthetic/engineered quantum physics problems; did not evaluate natural language processing or text security.,"Our work tests text security datasets (SMS, CEAS, MeAJOR), testing whether representation engineering or domain shifts create quantum geometric advantage on real NLP data."
P04_Thanasilp2024,"Thanasilp, S., Wang, S., Cerezo, M., & Holmes, Z.",2024,Exponential concentration in quantum kernel methods,Nature Communications (15:5100),Quantum Kernel Geometry & Trainability,Synthetic Random Unitary & Haar-Distributed States,Quantum Fidelity Kernel,Analytical Haar bounds,Continuous statevectors,Chebyshev & Markov concentration inequalities,No,"Proved that unconstrained global fidelity quantum kernels exponentially concentrate to uniform constants as qubit count or circuit depth increases, causing exponential sample complexity.",Pure theory and synthetic numerical simulations; does not evaluate practical NLP or cybersecurity pipelines.,We empirically validate kernel concentration mechanisms on real NLP text security datasets across 10 random seeds and 4 embedding models.
P05_Bowles2024,"Bowles, J., Ahmed, S., & Biamonte, J.",2024,Contextuality and the Geometry of Quantum Machine Learning,Physical Review Letters (132:140601),Quantum Information Geometry,Contextual Bell-Kochen-Specker configurations & synthetic benchmarks,Quantum Contextual Classifiers & Quantum Kernels,"Classical Feedforward Networks, Linear SVM",Quantum Density Matrices & Operator Algebras,Rigorous algebraic bounds,No,"Demonstrated that the inductive bias of quantum classifiers is governed by state-space geometry, entropy, and participation ratios in the embedding manifold.",Abstract quantum information theory; no application to natural language or security threat classification.,Our work applies geometric and spectral diagnostics directly to empirical text classification Gram matrices across real security datasets.
P06_Kubler2021,"Kübler, J. M., Muandet, K., & Bousquet, O.",2021,The Inductive Bias of Quantum Kernels,Advances in Neural Information Processing Systems (NeurIPS 34:12661-12673),Quantum Kernel Theory,"Synthetic Symmetries, Fashion-MNIST, UCI Benchmark Suite",Quantum Kernel Support Vector Machine,"Matched RBF SVM, Polynomial SVM, Linear SVM",Continuous normalized vectors,Empirical confidence intervals,No,Proved that quantum kernels offer inductive bias advantages only when data geometry matches the symmetry groups generated by the quantum circuit generators.,Did not investigate complex text representation spaces (transformers) or cross-source domain shift.,We evaluate the representation-to-encoding interaction across multiple text embeddings and domain shifts with full computational cost profiling.
P07_Glick2022,"Glick, J. R., Gujarati, T. P., Corcoles, A. D., Kim, Y., Kandala, A., Gambetta, J. M., & Temme, K.",2022,Covariant quantum kernels for data with group symmetries,npj Quantum Information (8:115),Quantum Kernels & Group Symmetries,Synthetic Group Symmetries & Molecular Spectra,Covariant Quantum Support Vector Classifier,"RBF SVM, Invariant Classical Kernels",Discrete group representations / continuous vector orbits,Standard deviations across seeds,No,Demonstrated provable quantum advantage in sample complexity when quantum kernels are explicitly constructed to respect the underlying group symmetry of the data.,Requires strict mathematical group structure; inapplicable to unstructured natural language text without known group symmetries.,Our work systematically investigates unstructured text representations where explicit algebraic symmetries do not exist.
P08_Rahevar2026,"Rahevar, K., Patel, S., & Shah, M.",2026,Quantum Kernels for Text Classification: A Statistical and Diagnostic Framework Revealing the Low-Data Regime,Computer Modeling in Engineering & Sciences (CMES 143(1):1-24),Quantum Natural Language Processing,"SMS Spam, BBC News, IMDB Subsets",Quantum Support Vector Classifier (QSVC),"Linear SVM, RBF SVM, Logistic Regression","TF-IDF, GloVe, Word2Vec",Paired Student t-tests (unadjusted),No,"Demonstrated that quantum kernels can match or marginally exceed classical kernels specifically in extreme low-data regimes (N < 200), with advantage vanishing as training size increases.","Evaluated only static embeddings (GloVe/Word2Vec) and TF-IDF; did not evaluate transformer representations (RoBERTa/MiniLM/MPNet), cross-source domain shift, or FDR corrections.","Our study addresses multi-dataset cybersecurity (SMS, CEAS email, MeAJOR email), transformer representations (RoBERTa, MiniLM, MPNet), cross-source domain transfer (Direction A/B), statevector entropy/rank diagnostics, 10-seed preregistered equivalence testing (ε=±0.01), and memory/runtime scaling profiling."
P09_Garg2024,"Garg, S., Ramakrishnan, S., & Biamonte, J.",2024,Quantum text classification with transformer embeddings,IEEE Transactions on Quantum Engineering (5:1-12),Quantum NLP & Transformer Integration,"SST-2 (Stanford Sentiment Treebank), AG News",QSVC & Variational Quantum Classifier (VQC),"Linear SVM, Classical Logistic Regression",BERT-base & DistilBERT CLS Token Embeddings,None (Mean ± Std over 3 seeds),No,Showed that transformer embeddings compressed via PCA can be classified by quantum kernels with accuracy comparable to linear classical baselines on small benchmark sets.,Small sample sizes; only 3 seeds; lacked matched RBF SVM baselines at identical dimensions; omitted kernel geometry analysis.,"We compare 4 distinct representations (TF-IDF, RoBERTa, MiniLM, MPNet), diagnose geometric failure mechanisms, and perform 10-seed matched RBF evaluations under domain shift."
P10_Shukla2023,"Shukla, A., Raghuwanshi, M. M., & Joshi, P.",2023,Quantum NLP for Document Classification: A Comparative Study,IEEE Access (11:10234-10245),Quantum NLP,"BBC News, Reuters-21578 Subset",QSVC & QNLP Ansätze,"Multinomial Naive Bayes, Linear SVM",TF-IDF & DisCoCat Categorical Grammars,,No,Reported that QNLP syntactic models achieve competitive classification accuracy on small news categorization benchmarks.,Single random seed; no matched nonlinear classical baselines (RBF SVM omitted); no out-of-distribution evaluation.,"We provide a 10-seed matched baseline audit, rigorous statistical significance tests, and out-of-distribution domain shift validation."
